Country Name,Indicator Name,Year,Value
Morocco,Imports of goods and services (% of GDP),1962,21.0928446984
Mozambique,CO2 emissions (metric tons per capita),1962,0.254829220109
Mozambique,Domestic credit provided by financial sector (% of GDP),1962,
Mozambique,Electric power consumption (kWh per capita),1962,
Mozambique,Energy use (kg of oil equivalent per capita),1962,
Mozambique,Exports of goods and services (% of GDP),1962,
Mozambique,Imports of goods and services (% of GDP),1962,
Myanmar,CO2 emissions (metric tons per capita),1962,0.128404767028
Myanmar,Domestic credit provided by financial sector (% of GDP),1962,
Myanmar,Electric power consumption (kWh per capita),1962,
Myanmar,Energy use (kg of oil equivalent per capita),1962,
Myanmar,Exports of goods and services (% of GDP),1962,
Myanmar,Imports of goods and services (% of GDP),1962,
Namibia,CO2 emissions (metric tons per capita),1962,
Namibia,Domestic credit provided by financial sector (% of GDP),1962,
Namibia,Electric power consumption (kWh per capita),1962,
Namibia,Energy use (kg of oil equivalent per capita),1962,
Namibia,Exports of goods and services (% of GDP),1962,
Namibia,Imports of goods and services (% of GDP),1962,
Nauru,CO2 emissions (metric tons per capita),1962,
Nauru,Domestic credit provided by financial sector (% of GDP),1962,
Nauru,Electric power consumption (kWh per capita),1962,
Nauru,Energy use (kg of oil equivalent per capita),1962,
Nauru,Exports of goods and services (% of GDP),1962,
Nauru,Imports of goods and services (% of GDP),1962,
Nepal,CO2 emissions (metric tons per capita),1962,0.00848101403663
Nepal,Domestic credit provided by financial sector (% of GDP),1962,1.23456787301
Nepal,Electric power consumption (kWh per capita),1962,
Nepal,Energy use (kg of oil equivalent per capita),1962,
Nepal,Exports of goods and services (% of GDP),1962,
Nepal,Imports of goods and services (% of GDP),1962,
Netherlands,CO2 emissions (metric tons per capita),1962,7.060853796839999
Netherlands,Domestic credit provided by financial sector (% of GDP),1962,45.095030405900005
Netherlands,Electric power consumption (kWh per capita),1962,1528.50036961
Netherlands,Energy use (kg of oil equivalent per capita),1962,2081.01162075
Netherlands,Exports of goods and services (% of GDP),1962,45.9426042282
Netherlands,Imports of goods and services (% of GDP),1962,45.5294035633
New Caledonia,CO2 emissions (metric tons per capita),1962,6.77119904077
New Caledonia,Domestic credit provided by financial sector (% of GDP),1962,
New Caledonia,Electric power consumption (kWh per capita),1962,
New Caledonia,Energy use (kg of oil equivalent per capita),1962,
New Caledonia,Exports of goods and services (% of GDP),1962,
New Caledonia,Imports of goods and services (% of GDP),1962,
New Zealand,CO2 emissions (metric tons per capita),1962,4.51652659146
New Zealand,Domestic credit provided by financial sector (% of GDP),1962,19.500407227
New Zealand,Electric power consumption (kWh per capita),1962,2751.81305399
New Zealand,Energy use (kg of oil equivalent per capita),1962,1791.46132151
New Zealand,Exports of goods and services (% of GDP),1962,
New Zealand,Imports of goods and services (% of GDP),1962,
Nicaragua,CO2 emissions (metric tons per capita),1962,0.349874904588
Nicaragua,Domestic credit provided by financial sector (% of GDP),1962,17.3250516509
Nicaragua,Electric power consumption (kWh per capita),1962,
Nicaragua,Energy use (kg of oil equivalent per capita),1962,
Nicaragua,Exports of goods and services (% of GDP),1962,26.4315577006
Nicaragua,Imports of goods and services (% of GDP),1962,28.9035229588
Niger,CO2 emissions (metric tons per capita),1962,0.018352266424
Niger,Domestic credit provided by financial sector (% of GDP),1962,3.00883849609
Niger,Electric power consumption (kWh per capita),1962,
Niger,Energy use (kg of oil equivalent per capita),1962,
Niger,Exports of goods and services (% of GDP),1962,9.28357491437
Niger,Imports of goods and services (% of GDP),1962,12.947792164200001
Nigeria,CO2 emissions (metric tons per capita),1962,0.0887217732028
Nigeria,Domestic credit provided by financial sector (% of GDP),1962,5.629199817230001
Nigeria,Electric power consumption (kWh per capita),1962,
Nigeria,Energy use (kg of oil equivalent per capita),1962,
Nigeria,Exports of goods and services (% of GDP),1962,8.269140541239999
Nigeria,Imports of goods and services (% of GDP),1962,13.5603602357
Northern Mariana Islands,CO2 emissions (metric tons per capita),1962,
Northern Mariana Islands,Domestic credit provided by financial sector (% of GDP),1962,
Northern Mariana Islands,Electric power consumption (kWh per capita),1962,
Northern Mariana Islands,Energy use (kg of oil equivalent per capita),1962,
Northern Mariana Islands,Exports of goods and services (% of GDP),1962,
Northern Mariana Islands,Imports of goods and services (% of GDP),1962,
Norway,CO2 emissions (metric tons per capita),1962,3.8686260586300003
Norway,Domestic credit provided by financial sector (% of GDP),1962,49.3215896528
Norway,Electric power consumption (kWh per capita),1962,9390.97830729
Norway,Energy use (kg of oil equivalent per capita),1962,2052.05448433
Norway,Exports of goods and services (% of GDP),1962,33.7722949325
Norway,Imports of goods and services (% of GDP),1962,35.5121344733
Oman,CO2 emissions (metric tons per capita),1962,
Oman,Domestic credit provided by financial sector (% of GDP),1962,
Oman,Electric power consumption (kWh per capita),1962,
Oman,Energy use (kg of oil equivalent per capita),1962,
Oman,Exports of goods and services (% of GDP),1962,
Oman,Imports of goods and services (% of GDP),1962,
Pakistan,CO2 emissions (metric tons per capita),1962,0.34177551476999996
Pakistan,Domestic credit provided by financial sector (% of GDP),1962,37.3250820771
Pakistan,Electric power consumption (kWh per capita),1962,
Pakistan,Energy use (kg of oil equivalent per capita),1962,
Pakistan,Exports of goods and services (% of GDP),1962,
Pakistan,Imports of goods and services (% of GDP),1962,
Palau,CO2 emissions (metric tons per capita),1962,5.05793103448
Palau,Domestic credit provided by financial sector (% of GDP),1962,
Palau,Electric power consumption (kWh per capita),1962,
Palau,Energy use (kg of oil equivalent per capita),1962,
Palau,Exports of goods and services (% of GDP),1962,
Palau,Imports of goods and services (% of GDP),1962,
Panama,CO2 emissions (metric tons per capita),1962,0.991186587845
Panama,Domestic credit provided by financial sector (% of GDP),1962,14.874542591900001
Panama,Electric power consumption (kWh per capita),1962,
Panama,Energy use (kg of oil equivalent per capita),1962,
Panama,Exports of goods and services (% of GDP),1962,53.180834303800005
Panama,Imports of goods and services (% of GDP),1962,57.1695460591
Papua New Guinea,CO2 emissions (metric tons per capita),1962,0.09720273026489999
Papua New Guinea,Domestic credit provided by financial sector (% of GDP),1962,
Papua New Guinea,Electric power consumption (kWh per capita),1962,
Papua New Guinea,Energy use (kg of oil equivalent per capita),1962,
Papua New Guinea,Exports of goods and services (% of GDP),1962,16.209262435699998
Papua New Guinea,Imports of goods and services (% of GDP),1962,27.915951972600002
Paraguay,CO2 emissions (metric tons per capita),1962,0.195662374952
Paraguay,Domestic credit provided by financial sector (% of GDP),1962,13.133123528399999
Paraguay,Electric power consumption (kWh per capita),1962,
Paraguay,Energy use (kg of oil equivalent per capita),1962,
Paraguay,Exports of goods and services (% of GDP),1962,
Paraguay,Imports of goods and services (% of GDP),1962,
Peru,CO2 emissions (metric tons per capita),1962,0.9361449681299999
Peru,Domestic credit provided by financial sector (% of GDP),1962,17.4830094085
Peru,Electric power consumption (kWh per capita),1962,
Peru,Energy use (kg of oil equivalent per capita),1962,
Peru,Exports of goods and services (% of GDP),1962,19.966300261500002
Peru,Imports of goods and services (% of GDP),1962,21.959928247399997
Philippines,CO2 emissions (metric tons per capita),1962,0.36851208177
Philippines,Domestic credit provided by financial sector (% of GDP),1962,24.8359327881
Philippines,Electric power consumption (kWh per capita),1962,
Philippines,Energy use (kg of oil equivalent per capita),1962,
Philippines,Exports of goods and services (% of GDP),1962,16.9476847799
Philippines,Imports of goods and services (% of GDP),1962,19.2346557979
Poland,CO2 emissions (metric tons per capita),1962,7.15360516027
Poland,Domestic credit provided by financial sector (% of GDP),1962,
Poland,Electric power consumption (kWh per capita),1962,1062.177277
Poland,Energy use (kg of oil equivalent per capita),1962,1976.85979181
Poland,Exports of goods and services (% of GDP),1962,
Poland,Imports of goods and services (% of GDP),1962,
Portugal,CO2 emissions (metric tons per capita),1962,1.0343778647600002
Portugal,Domestic credit provided by financial sector (% of GDP),1962,48.0047094942
Portugal,Electric power consumption (kWh per capita),1962,379.142282314
Portugal,Energy use (kg of oil equivalent per capita),1962,363.164047972
Portugal,Exports of goods and services (% of GDP),1962,15.262101420799999
Portugal,Imports of goods and services (% of GDP),1962,18.9632814285
Puerto Rico,CO2 emissions (metric tons per capita),1962,
Puerto Rico,Domestic credit provided by financial sector (% of GDP),1962,
Puerto Rico,Electric power consumption (kWh per capita),1962,
Puerto Rico,Energy use (kg of oil equivalent per capita),1962,
Puerto Rico,Exports of goods and services (% of GDP),1962,45.378151260500005
Puerto Rico,Imports of goods and services (% of GDP),1962,63.6124919786
Qatar,CO2 emissions (metric tons per capita),1962,3.3937387651899997
Qatar,Domestic credit provided by financial sector (% of GDP),1962,
Qatar,Electric power consumption (kWh per capita),1962,
Qatar,Energy use (kg of oil equivalent per capita),1962,
Qatar,Exports of goods and services (% of GDP),1962,
Qatar,Imports of goods and services (% of GDP),1962,
Romania,CO2 emissions (metric tons per capita),1962,3.4202858664999995
Romania,Domestic credit provided by financial sector (% of GDP),1962,
Romania,Electric power consumption (kWh per capita),1962,
Romania,Energy use (kg of oil equivalent per capita),1962,
Romania,Exports of goods and services (% of GDP),1962,
Romania,Imports of goods and services (% of GDP),1962,
Russian Federation,CO2 emissions (metric tons per capita),1962,
Russian Federation,Domestic credit provided by financial sector (% of GDP),1962,
Russian Federation,Electric power consumption (kWh per capita),1962,
Russian Federation,Energy use (kg of oil equivalent per capita),1962,
Russian Federation,Exports of goods and services (% of GDP),1962,
Russian Federation,Imports of goods and services (% of GDP),1962,
Rwanda,CO2 emissions (metric tons per capita),1962,0.0276473843144
Rwanda,Domestic credit provided by financial sector (% of GDP),1962,
Rwanda,Electric power consumption (kWh per capita),1962,
Rwanda,Energy use (kg of oil equivalent per capita),1962,
Rwanda,Exports of goods and services (% of GDP),1962,9.27999940608
Rwanda,Imports of goods and services (% of GDP),1962,12.799999180799999
Samoa,CO2 emissions (metric tons per capita),1962,0.15835247784700002
Samoa,Domestic credit provided by financial sector (% of GDP),1962,
Samoa,Electric power consumption (kWh per capita),1962,
Samoa,Energy use (kg of oil equivalent per capita),1962,
Samoa,Exports of goods and services (% of GDP),1962,
Samoa,Imports of goods and services (% of GDP),1962,
San Marino,CO2 emissions (metric tons per capita),1962,
San Marino,Domestic credit provided by financial sector (% of GDP),1962,
San Marino,Electric power consumption (kWh per capita),1962,
San Marino,Energy use (kg of oil equivalent per capita),1962,
San Marino,Exports of goods and services (% of GDP),1962,
San Marino,Imports of goods and services (% of GDP),1962,
Sao Tome and Principe,CO2 emissions (metric tons per capita),1962,0.17074609259799997
Sao Tome and Principe,Domestic credit provided by financial sector (% of GDP),1962,
Sao Tome and Principe,Electric power consumption (kWh per capita),1962,
Sao Tome and Principe,Energy use (kg of oil equivalent per capita),1962,
Sao Tome and Principe,Exports of goods and services (% of GDP),1962,
Sao Tome and Principe,Imports of goods and services (% of GDP),1962,
Saudi Arabia,CO2 emissions (metric tons per capita),1962,1.43389833694
Saudi Arabia,Domestic credit provided by financial sector (% of GDP),1962,
Saudi Arabia,Electric power consumption (kWh per capita),1962,
Saudi Arabia,Energy use (kg of oil equivalent per capita),1962,
Saudi Arabia,Exports of goods and services (% of GDP),1962,
Saudi Arabia,Imports of goods and services (% of GDP),1962,
Senegal,CO2 emissions (metric tons per capita),1962,0.24254227941
Senegal,Domestic credit provided by financial sector (% of GDP),1962,11.2051875247
Senegal,Electric power consumption (kWh per capita),1962,
Senegal,Energy use (kg of oil equivalent per capita),1962,
Senegal,Exports of goods and services (% of GDP),1962,20.3012799603
Senegal,Imports of goods and services (% of GDP),1962,18.1132243329
Serbia,CO2 emissions (metric tons per capita),1962,
Serbia,Domestic credit provided by financial sector (% of GDP),1962,
Serbia,Electric power consumption (kWh per capita),1962,
Serbia,Energy use (kg of oil equivalent per capita),1962,
Serbia,Exports of goods and services (% of GDP),1962,
Serbia,Imports of goods and services (% of GDP),1962,
Seychelles,CO2 emissions (metric tons per capita),1962,
Seychelles,Domestic credit provided by financial sector (% of GDP),1962,
Seychelles,Electric power consumption (kWh per capita),1962,
Seychelles,Energy use (kg of oil equivalent per capita),1962,
Seychelles,Exports of goods and services (% of GDP),1962,
Seychelles,Imports of goods and services (% of GDP),1962,
Sierra Leone,CO2 emissions (metric tons per capita),1962,0.145725026244
Sierra Leone,Domestic credit provided by financial sector (% of GDP),1962,6.20478359268
Sierra Leone,Electric power consumption (kWh per capita),1962,
Sierra Leone,Energy use (kg of oil equivalent per capita),1962,
Sierra Leone,Exports of goods and services (% of GDP),1962,
Sierra Leone,Imports of goods and services (% of GDP),1962,
Singapore,CO2 emissions (metric tons per capita),1962,1.47291795223
Singapore,Domestic credit provided by financial sector (% of GDP),1962,
Singapore,Electric power consumption (kWh per capita),1962,
Singapore,Energy use (kg of oil equivalent per capita),1962,
Singapore,Exports of goods and services (% of GDP),1962,138.18131476899998
Singapore,Imports of goods and services (% of GDP),1962,148.58792817
Sint Maarten (Dutch part),CO2 emissions (metric tons per capita),1962,
Sint Maarten (Dutch part),Domestic credit provided by financial sector (% of GDP),1962,
Sint Maarten (Dutch part),Electric power consumption (kWh per capita),1962,
Sint Maarten (Dutch part),Energy use (kg of oil equivalent per capita),1962,
Sint Maarten (Dutch part),Exports of goods and services (% of GDP),1962,
Sint Maarten (Dutch part),Imports of goods and services (% of GDP),1962,
Slovak Republic,CO2 emissions (metric tons per capita),1962,
Slovak Republic,Domestic credit provided by financial sector (% of GDP),1962,
Slovak Republic,Electric power consumption (kWh per capita),1962,
Slovak Republic,Energy use (kg of oil equivalent per capita),1962,
Slovak Republic,Exports of goods and services (% of GDP),1962,
Slovak Republic,Imports of goods and services (% of GDP),1962,
Slovenia,CO2 emissions (metric tons per capita),1962,
Slovenia,Domestic credit provided by financial sector (% of GDP),1962,
Slovenia,Electric power consumption (kWh per capita),1962,
Slovenia,Energy use (kg of oil equivalent per capita),1962,
Slovenia,Exports of goods and services (% of GDP),1962,
Slovenia,Imports of goods and services (% of GDP),1962,
Solomon Islands,CO2 emissions (metric tons per capita),1962,0.117280199571
Solomon Islands,Domestic credit provided by financial sector (% of GDP),1962,
Solomon Islands,Electric power consumption (kWh per capita),1962,
Solomon Islands,Energy use (kg of oil equivalent per capita),1962,
Solomon Islands,Exports of goods and services (% of GDP),1962,
Solomon Islands,Imports of goods and services (% of GDP),1962,
Somalia,CO2 emissions (metric tons per capita),1962,0.0369895900581
Somalia,Domestic credit provided by financial sector (% of GDP),1962,
Somalia,Electric power consumption (kWh per capita),1962,
Somalia,Energy use (kg of oil equivalent per capita),1962,
Somalia,Exports of goods and services (% of GDP),1962,12.794031078
Somalia,Imports of goods and services (% of GDP),1962,27.514077754200002
South Africa,CO2 emissions (metric tons per capita),1962,5.729711710680001
South Africa,Domestic credit provided by financial sector (% of GDP),1962,
South Africa,Electric power consumption (kWh per capita),1962,
South Africa,Energy use (kg of oil equivalent per capita),1962,
South Africa,Exports of goods and services (% of GDP),1962,30.466120208400003
South Africa,Imports of goods and services (% of GDP),1962,21.2720052289
South Sudan,CO2 emissions (metric tons per capita),1962,
South Sudan,Domestic credit provided by financial sector (% of GDP),1962,
South Sudan,Electric power consumption (kWh per capita),1962,
South Sudan,Energy use (kg of oil equivalent per capita),1962,
South Sudan,Exports of goods and services (% of GDP),1962,
South Sudan,Imports of goods and services (% of GDP),1962,
Spain,CO2 emissions (metric tons per capita),1962,1.93578153318
Spain,Domestic credit provided by financial sector (% of GDP),1962,51.1911067938
Spain,Electric power consumption (kWh per capita),1962,613.247447102
Spain,Energy use (kg of oil equivalent per capita),1962,605.223527325
Spain,Exports of goods and services (% of GDP),1962,8.303653608889999
Spain,Imports of goods and services (% of GDP),1962,10.1191271129
Sri Lanka,CO2 emissions (metric tons per capita),1962,0.245449870727
Sri Lanka,Domestic credit provided by financial sector (% of GDP),1962,25.810616929699997
Sri Lanka,Electric power consumption (kWh per capita),1962,
Sri Lanka,Energy use (kg of oil equivalent per capita),1962,
Sri Lanka,Exports of goods and services (% of GDP),1962,27.792674318499998
Sri Lanka,Imports of goods and services (% of GDP),1962,29.201295552399998
St. Kitts and Nevis,CO2 emissions (metric tons per capita),1962,0.28779970961
St. Kitts and Nevis,Domestic credit provided by financial sector (% of GDP),1962,
St. Kitts and Nevis,Electric power consumption (kWh per capita),1962,
St. Kitts and Nevis,Energy use (kg of oil equivalent per capita),1962,
St. Kitts and Nevis,Exports of goods and services (% of GDP),1962,
St. Kitts and Nevis,Imports of goods and services (% of GDP),1962,
St. Lucia,CO2 emissions (metric tons per capita),1962,0.199107356167
St. Lucia,Domestic credit provided by financial sector (% of GDP),1962,
St. Lucia,Electric power consumption (kWh per capita),1962,
St. Lucia,Energy use (kg of oil equivalent per capita),1962,
St. Lucia,Exports of goods and services (% of GDP),1962,
St. Lucia,Imports of goods and services (% of GDP),1962,
St. Martin (French part),CO2 emissions (metric tons per capita),1962,
St. Martin (French part),Domestic credit provided by financial sector (% of GDP),1962,
St. Martin (French part),Electric power consumption (kWh per capita),1962,
St. Martin (French part),Energy use (kg of oil equivalent per capita),1962,
St. Martin (French part),Exports of goods and services (% of GDP),1962,
St. Martin (French part),Imports of goods and services (% of GDP),1962,
St. Vincent and the Grenadines,CO2 emissions (metric tons per capita),1962,0.132214023027
St. Vincent and the Grenadines,Domestic credit provided by financial sector (% of GDP),1962,
St. Vincent and the Grenadines,Electric power consumption (kWh per capita),1962,
St. Vincent and the Grenadines,Energy use (kg of oil equivalent per capita),1962,
St. Vincent and the Grenadines,Exports of goods and services (% of GDP),1962,
St. Vincent and the Grenadines,Imports of goods and services (% of GDP),1962,
Sudan,CO2 emissions (metric tons per capita),1962,0.134379625666
Sudan,Domestic credit provided by financial sector (% of GDP),1962,3.95243243243
Sudan,Electric power consumption (kWh per capita),1962,
Sudan,Energy use (kg of oil equivalent per capita),1962,
Sudan,Exports of goods and services (% of GDP),1962,14.616216216199998
Sudan,Imports of goods and services (% of GDP),1962,15.048648648599999
Suriname,CO2 emissions (metric tons per capita),1962,1.6160513172100002
Suriname,Domestic credit provided by financial sector (% of GDP),1962,
Suriname,Electric power consumption (kWh per capita),1962,
Suriname,Energy use (kg of oil equivalent per capita),1962,
Suriname,Exports of goods and services (% of GDP),1962,48.0193236715
Suriname,Imports of goods and services (% of GDP),1962,60.0
Swaziland,CO2 emissions (metric tons per capita),1962,
Swaziland,Domestic credit provided by financial sector (% of GDP),1962,
Swaziland,Electric power consumption (kWh per capita),1962,
Swaziland,Energy use (kg of oil equivalent per capita),1962,
Swaziland,Exports of goods and services (% of GDP),1962,47.8575369524
Swaziland,Imports of goods and services (% of GDP),1962,45.7237614195
Sweden,CO2 emissions (metric tons per capita),1962,6.787859772309999
Sweden,Domestic credit provided by financial sector (% of GDP),1962,49.200494957299995
Sweden,Electric power consumption (kWh per capita),1962,4613.97791046
Sweden,Energy use (kg of oil equivalent per capita),1962,2887.23625249
Sweden,Exports of goods and services (% of GDP),1962,21.9048553694
Sweden,Imports of goods and services (% of GDP),1962,21.3924809491
Switzerland,CO2 emissions (metric tons per capita),1962,4.3335720686800006
Switzerland,Domestic credit provided by financial sector (% of GDP),1962,111.049788889
Switzerland,Electric power consumption (kWh per capita),1962,3278.0061770999996
Switzerland,Energy use (kg of oil equivalent per capita),1962,1568.91106002
Switzerland,Exports of goods and services (% of GDP),1962,26.862664089499997
Switzerland,Imports of goods and services (% of GDP),1962,28.852809355999998
Syrian Arab Republic,CO2 emissions (metric tons per capita),1962,0.654416563143
Syrian Arab Republic,Domestic credit provided by financial sector (% of GDP),1962,37.3061112598
Syrian Arab Republic,Electric power consumption (kWh per capita),1962,
Syrian Arab Republic,Energy use (kg of oil equivalent per capita),1962,
Syrian Arab Republic,Exports of goods and services (% of GDP),1962,20.9337601542
Syrian Arab Republic,Imports of goods and services (% of GDP),1962,21.563403271
Tajikistan,CO2 emissions (metric tons per capita),1962,
Tajikistan,Domestic credit provided by financial sector (% of GDP),1962,
Tajikistan,Electric power consumption (kWh per capita),1962,
Tajikistan,Energy use (kg of oil equivalent per capita),1962,
Tajikistan,Exports of goods and services (% of GDP),1962,
Tajikistan,Imports of goods and services (% of GDP),1962,
Tanzania,CO2 emissions (metric tons per capita),1962,0.0717344659547
Tanzania,Domestic credit provided by financial sector (% of GDP),1962,
Tanzania,Electric power consumption (kWh per capita),1962,
Tanzania,Energy use (kg of oil equivalent per capita),1962,
Tanzania,Exports of goods and services (% of GDP),1962,
Tanzania,Imports of goods and services (% of GDP),1962,
Thailand,CO2 emissions (metric tons per capita),1962,0.17312969272700002
Thailand,Domestic credit provided by financial sector (% of GDP),1962,17.742050079400002
Thailand,Electric power consumption (kWh per capita),1962,
Thailand,Energy use (kg of oil equivalent per capita),1962,
Thailand,Exports of goods and services (% of GDP),1962,15.686762829300001
Thailand,Imports of goods and services (% of GDP),1962,17.649417414600002
Timor-Leste,CO2 emissions (metric tons per capita),1962,
Timor-Leste,Domestic credit provided by financial sector (% of GDP),1962,
Timor-Leste,Electric power consumption (kWh per capita),1962,
Timor-Leste,Energy use (kg of oil equivalent per capita),1962,
Timor-Leste,Exports of goods and services (% of GDP),1962,
Timor-Leste,Imports of goods and services (% of GDP),1962,
Togo,CO2 emissions (metric tons per capita),1962,0.0545698734714
Togo,Domestic credit provided by financial sector (% of GDP),1962,5.49382524444
Togo,Electric power consumption (kWh per capita),1962,
Togo,Energy use (kg of oil equivalent per capita),1962,
Togo,Exports of goods and services (% of GDP),1962,35.0453417897
Togo,Imports of goods and services (% of GDP),1962,30.422220254000003
Tonga,CO2 emissions (metric tons per capita),1962,0.16604029884500002
Tonga,Domestic credit provided by financial sector (% of GDP),1962,
Tonga,Electric power consumption (kWh per capita),1962,
Tonga,Energy use (kg of oil equivalent per capita),1962,
Tonga,Exports of goods and services (% of GDP),1962,
Tonga,Imports of goods and services (% of GDP),1962,
Trinidad and Tobago,CO2 emissions (metric tons per capita),1962,8.22557012974
Trinidad and Tobago,Domestic credit provided by financial sector (% of GDP),1962,12.470578993699998
Trinidad and Tobago,Electric power consumption (kWh per capita),1962,
Trinidad and Tobago,Energy use (kg of oil equivalent per capita),1962,
Trinidad and Tobago,Exports of goods and services (% of GDP),1962,65.85660962819999
Trinidad and Tobago,Imports of goods and services (% of GDP),1962,64.1047946833
Tunisia,CO2 emissions (metric tons per capita),1962,0.41298737178000006
Tunisia,Domestic credit provided by financial sector (% of GDP),1962,
Tunisia,Electric power consumption (kWh per capita),1962,
Tunisia,Energy use (kg of oil equivalent per capita),1962,
Tunisia,Exports of goods and services (% of GDP),1962,
Tunisia,Imports of goods and services (% of GDP),1962,
Turkey,CO2 emissions (metric tons per capita),1962,0.748240893242
Turkey,Domestic credit provided by financial sector (% of GDP),1962,23.00124533
Turkey,Electric power consumption (kWh per capita),1962,111.760694445
Turkey,Energy use (kg of oil equivalent per capita),1962,410.02179696699994
Turkey,Exports of goods and services (% of GDP),1962,5.60398505604
Turkey,Imports of goods and services (% of GDP),1962,7.970112079700001
Turkmenistan,CO2 emissions (metric tons per capita),1962,
Turkmenistan,Domestic credit provided by financial sector (% of GDP),1962,
Turkmenistan,Electric power consumption (kWh per capita),1962,
Turkmenistan,Energy use (kg of oil equivalent per capita),1962,
Turkmenistan,Exports of goods and services (% of GDP),1962,
Turkmenistan,Imports of goods and services (% of GDP),1962,
Turks and Caicos Islands,CO2 emissions (metric tons per capita),1962,
Turks and Caicos Islands,Domestic credit provided by financial sector (% of GDP),1962,
Turks and Caicos Islands,Electric power consumption (kWh per capita),1962,
Turks and Caicos Islands,Energy use (kg of oil equivalent per capita),1962,
Turks and Caicos Islands,Exports of goods and services (% of GDP),1962,
Turks and Caicos Islands,Imports of goods and services (% of GDP),1962,
Tuvalu,CO2 emissions (metric tons per capita),1962,
Tuvalu,Domestic credit provided by financial sector (% of GDP),1962,
Tuvalu,Electric power consumption (kWh per capita),1962,
Tuvalu,Energy use (kg of oil equivalent per capita),1962,
Tuvalu,Exports of goods and services (% of GDP),1962,
Tuvalu,Imports of goods and services (% of GDP),1962,
Uganda,CO2 emissions (metric tons per capita),1962,0.0592582617361
Uganda,Domestic credit provided by financial sector (% of GDP),1962,
Uganda,Electric power consumption (kWh per capita),1962,
Uganda,Energy use (kg of oil equivalent per capita),1962,
Uganda,Exports of goods and services (% of GDP),1962,24.1074054879
Uganda,Imports of goods and services (% of GDP),1962,21.4477142951
Ukraine,CO2 emissions (metric tons per capita),1962,
Ukraine,Domestic credit provided by financial sector (% of GDP),1962,
Ukraine,Electric power consumption (kWh per capita),1962,
Ukraine,Energy use (kg of oil equivalent per capita),1962,
Ukraine,Exports of goods and services (% of GDP),1962,
Ukraine,Imports of goods and services (% of GDP),1962,
United Arab Emirates,CO2 emissions (metric tons per capita),1962,0.16335531005
United Arab Emirates,Domestic credit provided by financial sector (% of GDP),1962,
United Arab Emirates,Electric power consumption (kWh per capita),1962,
United Arab Emirates,Energy use (kg of oil equivalent per capita),1962,
United Arab Emirates,Exports of goods and services (% of GDP),1962,
United Arab Emirates,Imports of goods and services (% of GDP),1962,
United Kingdom,CO2 emissions (metric tons per capita),1962,11.1429283944
United Kingdom,Domestic credit provided by financial sector (% of GDP),1962,54.824462916499996
United Kingdom,Electric power consumption (kWh per capita),1962,2780.657277
United Kingdom,Energy use (kg of oil equivalent per capita),1962,3087.34197183
United Kingdom,Exports of goods and services (% of GDP),1962,19.423100058800003
United Kingdom,Imports of goods and services (% of GDP),1962,19.621273505
United States,CO2 emissions (metric tons per capita),1962,16.013937498
United States,Domestic credit provided by financial sector (% of GDP),1962,106.25825939
United States,Electric power consumption (kWh per capita),1962,4433.60602129
United States,Energy use (kg of oil equivalent per capita),1962,5774.58631485
United States,Exports of goods and services (% of GDP),1962,4.8091224591
United States,Imports of goods and services (% of GDP),1962,4.13154850438
Uruguay,CO2 emissions (metric tons per capita),1962,1.54065748629
Uruguay,Domestic credit provided by financial sector (% of GDP),1962,35.355670103099996
Uruguay,Electric power consumption (kWh per capita),1962,
Uruguay,Energy use (kg of oil equivalent per capita),1962,
Uruguay,Exports of goods and services (% of GDP),1962,11.3402061856
Uruguay,Imports of goods and services (% of GDP),1962,14.4329896907
Uzbekistan,CO2 emissions (metric tons per capita),1962,
Uzbekistan,Domestic credit provided by financial sector (% of GDP),1962,
Uzbekistan,Electric power consumption (kWh per capita),1962,
Uzbekistan,Energy use (kg of oil equivalent per capita),1962,
Uzbekistan,Exports of goods and services (% of GDP),1962,
Uzbekistan,Imports of goods and services (% of GDP),1962,
Vanuatu,CO2 emissions (metric tons per capita),1962,0.594888357962
Vanuatu,Domestic credit provided by financial sector (% of GDP),1962,
Vanuatu,Electric power consumption (kWh per capita),1962,
Vanuatu,Energy use (kg of oil equivalent per capita),1962,
Vanuatu,Exports of goods and services (% of GDP),1962,
Vanuatu,Imports of goods and services (% of GDP),1962,
"Venezuela, RB",CO2 emissions (metric tons per capita),1962,6.1550572828400005
"Venezuela, RB",Domestic credit provided by financial sector (% of GDP),1962,13.3826793176
"Venezuela, RB",Electric power consumption (kWh per capita),1962,
"Venezuela, RB",Energy use (kg of oil equivalent per capita),1962,
"Venezuela, RB",Exports of goods and services (% of GDP),1962,29.1703706391
"Venezuela, RB",Imports of goods and services (% of GDP),1962,15.0907397665
Vietnam,CO2 emissions (metric tons per capita),1962,0.258759875979
Vietnam,Domestic credit provided by financial sector (% of GDP),1962,
Vietnam,Electric power consumption (kWh per capita),1962,
Vietnam,Energy use (kg of oil equivalent per capita),1962,
Vietnam,Exports of goods and services (% of GDP),1962,
Vietnam,Imports of goods and services (% of GDP),1962,
Virgin Islands,CO2 emissions (metric tons per capita),1962,
Virgin Islands,Domestic credit provided by financial sector (% of GDP),1962,
Virgin Islands,Electric power consumption (kWh per capita),1962,
Virgin Islands,Energy use (kg of oil equivalent per capita),1962,
Virgin Islands,Exports of goods and services (% of GDP),1962,
Virgin Islands,Imports of goods and services (% of GDP),1962,
